Image Link,Title,Price,sub-category,category
https://backend.scanini.tn/api/images/plates/23/1722602809408-920086373-BRICK.jfif,Brick Au Thon,6.000 DT,Les Entrées,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722602838997-541343774-BRICK.jfif,Brick Au Fruit De...,7.000 DT,Les Entrées,Cuisine
https://www.elkolla.scanini.tn/assets/images/noimage.png,Soupe,8.000 DT,Les Entrées,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722374060129-840808136-29.png,Salade César,22.000 DT,Les Entrées,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722374138179-600644796-21.png,Salade Poulpe,32.000 DT,Les Entrées,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722374086559-950735893-3.png,Salade Fruits De Mer,35.000 DT,Les Entrées,Cuisine
