Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722373504484-541521132-22.png,Chocolat,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373520294-157103596-22.png,Nutella,12.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373620679-807801625-19.png,Nutella Lotus,13.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373583686-847327774-19.png,Nutella Oreo,13.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373537145-431148505-19.png,Nutella Fruits Secs,15.000 DT
