Image Link,Title,Price,sub-category,category
https://backend.scanini.tn/api/images/plates/23/1722374770485-512404138-54.png,Ojja Fruit De Mer,48.000 DT,Poisson Chrafi,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722386061569-560421435-37.png,Mille-feuille De ...,48.000 DT,Poisson Chrafi,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722389468266-402496034-kolla-375.png,Poisson Grillé,48.000 DT,Poisson Chrafi,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722389606319-669706106-kolla-375.png,Box El Kolla,120.000 DT,Poisson Chrafi,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722374787337-926955111-2.png,Trésor El Kolla,150.000 DT,Poisson Chrafi,Cuisine
