Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722376387926-963576843-8.png,Oreo,12.000 DT
https://backend.scanini.tn/api/images/plates/23/1722303136023-155941159-14.png,Nutella,12.000 DT
https://backend.scanini.tn/api/images/plates/23/1722376414320-739048468-48.png,Snickers,13.000 DT
https://backend.scanini.tn/api/images/plates/23/1722376427426-253491884-15.png,Mars,13.000 DT
https://backend.scanini.tn/api/images/plates/23/1722376441302-669291537-8.png,Nutella Oreo,13.000 DT
https://backend.scanini.tn/api/images/plates/23/1722376455017-943306578-71.png,Ferrero Rocher,14.000 DT
