Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722373643603-131867196-12.png,Chocolat,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373655442-592147526-12.png,Nutella,12.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373777399-555633515-73.png,Nutella Fruits Secs,15.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373717649-183349694-11.png,Nutella Noisette,16.000 DT
https://backend.scanini.tn/api/images/plates/23/1722373738055-716811364-72.png,Nutella Pistachio,17.000 DT
