Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722388195362-637815489-90.png,Eau 0.5 L,2.500 DT
https://backend.scanini.tn/api/images/plates/23/1722388211801-160368828-91.png,Eau 1 L,4.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388223903-352513530-92.png,Soda,4.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388245790-804558604-87.png,Redbull/shark,10.000 DT
