Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722386509670-707486895-86.png,Express,3.500 DT
https://backend.scanini.tn/api/images/plates/23/1722386520037-24367872-83.png,Capucin,4.000 DT
https://backend.scanini.tn/api/images/plates/23/1722386530022-317119526-85.png,Américain,4.000 DT
https://backend.scanini.tn/api/images/plates/23/1722386539506-94322461-84.png,Grand Crème,4.500 DT
https://backend.scanini.tn/api/images/plates/23/1722386548123-563419682-82.png,Chocoline,5.000 DT
https://backend.scanini.tn/api/images/plates/23/1722386568351-612158427-10.png,Café Turc,10.000 DT
