Image Link,Title,Price,sub-category,category
https://backend.scanini.tn/api/images/plates/23/1722376286278-174050154-26.png,Vanille,10.000 DT,Frappucino,Drinks
https://backend.scanini.tn/api/images/plates/23/1722376302759-959775739-32.png,Caramel,12.000 DT,Frappucino,Drinks
https://backend.scanini.tn/api/images/plates/23/1722376315680-779604449-32.png,Noisette,12.000 DT,Frappucino,Drinks
https://backend.scanini.tn/api/images/plates/23/1722376344632-686608477-31.png,Oreo,13.000 DT,Frappucino,Drinks
https://backend.scanini.tn/api/images/plates/23/1722376327756-201683999-24.png,Nutella,13.000 DT,Frappucino,Drinks
