Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722389286274-465296489-kolla-375.png,Chocolat Liégeois,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388909970-191727904-1.png,Noisette,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388918411-585749219-1.png,Caramel,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388943100-538463859-1.png,Nutella,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722389308857-105385291-71.png,Ferrero Rocher,12.000 DT
