Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722375022497-754640675-52.png,Plateau Gourmand,60.000 DT
https://backend.scanini.tn/api/images/plates/23/1722374957683-651981423-50.png,Kolla Allouche,80.000 DT
https://backend.scanini.tn/api/images/plates/23/1722388081103-62073083-79.png,Spaghetti Fruits ...,82.000 DT
https://backend.scanini.tn/api/images/plates/23/1722374997605-666540841-6.png,Kolla Fruits De Mer,88.000 DT
https://backend.scanini.tn/api/images/plates/23/1722375385164-863634434-2.png,Trésor Crevette,130.000 DT
https://backend.scanini.tn/api/images/plates/23/1722375089469-155402696-30.png,Kolla Royale,150.000 DT
