Image Link,Title,Price
https://backend.scanini.tn/api/images/plates/23/1722303443405-652826929-62.png,Citronnade,7.000 DT
https://backend.scanini.tn/api/images/plates/23/1722303520381-355961485-66.png,Jus Fraise,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722303537295-544976767-68.png,Lait De Poule,10.000 DT
https://www.elkolla.scanini.tn/assets/images/noimage.png,Kiwi,10.000 DT
https://backend.scanini.tn/api/images/plates/23/1722303565355-160910961-64.png,Duo (Fraise Banane),12.000 DT
https://backend.scanini.tn/api/images/plates/23/1722303589653-776096867-67.png,Trio (Kiwi Banane...,13.000 DT
