Image Link,Title,Price,sub-category,category
https://backend.scanini.tn/api/images/plates/23/1722375168549-247661049-43.png,Penne Sauce Pesto,25.000 DT,Nos Pates,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722375146284-787927202-59.png,Lasagne Fruits De...,35.000 DT,Nos Pates,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722388132904-694782889-79.png,Spaghetti Fruits ...,42.000 DT,Nos Pates,Cuisine
https://backend.scanini.tn/api/images/plates/23/1722375363982-958089409-43.png,Tagliatteli 4 Fro...,55.000 DT,Nos Pates,Cuisine
