product_image,product_name,product_price,product_sub_cat,product_category,product_ref
https://backend.scanini.tn/api/images/plates/23/1722388195362-637815489-90.png,Eau 0.5 L,2.500 DT,Boissons,Drinks,EAU0
https://backend.scanini.tn/api/images/plates/23/1722388211801-160368828-91.png,Eau 1 L,4.000 DT,Boissons,Drinks,EAU1
https://backend.scanini.tn/api/images/plates/23/1722388223903-352513530-92.png,Soda,4.000 DT,Boissons,Drinks,SOD2
https://backend.scanini.tn/api/images/plates/23/1722388245790-804558604-87.png,Redbull/shark,10.000 DT,Boissons,Drinks,RED3
https://backend.scanini.tn/api/images/plates/23/1722386509670-707486895-86.png,Express,3.500 DT,Cafés,Drinks,EXP0
https://backend.scanini.tn/api/images/plates/23/1722386520037-24367872-83.png,Capucin,4.000 DT,Cafés,Drinks,CAP1
https://backend.scanini.tn/api/images/plates/23/1722386530022-317119526-85.png,Américain,4.000 DT,Cafés,Drinks,AMÉ2
https://backend.scanini.tn/api/images/plates/23/1722386539506-94322461-84.png,Grand Crème,4.500 DT,Cafés,Drinks,GRA3
https://backend.scanini.tn/api/images/plates/23/1722386548123-563419682-82.png,Chocoline,5.000 DT,Cafés,Drinks,CHO4
https://backend.scanini.tn/api/images/plates/23/1722386568351-612158427-10.png,Café Turc,10.000 DT,Cafés,Drinks,CAF5
https://backend.scanini.tn/api/images/plates/23/1722388440426-332740154-94.png,Fakher,9.000 DT,Chicha,Chicha,FAK0
https://backend.scanini.tn/api/images/plates/23/1722388449322-320028847-93.png,Adalyia,11.000 DT,Chicha,Chicha,ADA1
https://backend.scanini.tn/api/images/plates/23/1722373643603-131867196-12.png,Chocolat,10.000 DT,Crêpe,Sucré,CHO0
https://backend.scanini.tn/api/images/plates/23/1722373655442-592147526-12.png,Nutella,12.000 DT,Crêpe,Sucré,NUT1
https://backend.scanini.tn/api/images/plates/23/1722373777399-555633515-73.png,Nutella Fruits Secs,15.000 DT,Crêpe,Sucré,NUT2
https://backend.scanini.tn/api/images/plates/23/1722373717649-183349694-11.png,Nutella Noisette,16.000 DT,Crêpe,Sucré,NUT3
https://backend.scanini.tn/api/images/plates/23/1722373738055-716811364-72.png,Nutella Pistachio,17.000 DT,Crêpe,Sucré,NUT4
https://backend.scanini.tn/api/images/plates/23/1722373408350-174872470-44.png,Fondant Chocolat,13.000 DT,Desserts,Sucré,FON0
https://backend.scanini.tn/api/images/plates/23/1722389549928-797703616-kolla-375.png,Fondant Pistache,14.000 DT,Desserts,Sucré,FON1
https://backend.scanini.tn/api/images/plates/23/1722373466229-850586066-46.png,Chesse Cake,15.000 DT,Desserts,Sucré,CHE2
https://backend.scanini.tn/api/images/plates/23/1722374023457-610270968-47.png,San Sebastian,15.000 DT,Desserts,Sucré,SAN3
https://backend.scanini.tn/api/images/plates/23/1722376286278-174050154-26.png,Vanille,10.000 DT,Frappucino,Drinks,VAN0
https://backend.scanini.tn/api/images/plates/23/1722376302759-959775739-32.png,Caramel,12.000 DT,Frappucino,Drinks,CAR1
https://backend.scanini.tn/api/images/plates/23/1722376315680-779604449-32.png,Noisette,12.000 DT,Frappucino,Drinks,NOI2
https://backend.scanini.tn/api/images/plates/23/1722376344632-686608477-31.png,Oreo,13.000 DT,Frappucino,Drinks,ORE3
https://backend.scanini.tn/api/images/plates/23/1722376327756-201683999-24.png,Nutella,13.000 DT,Frappucino,Drinks,NUT41
https://backend.scanini.tn/api/images/plates/23/1722373504484-541521132-22.png,Chocolat,10.000 DT,Gaufre,Sucré,CHO01
https://backend.scanini.tn/api/images/plates/23/1722373520294-157103596-22.png,Nutella,12.000 DT,Gaufre,Sucré,NUT11
https://backend.scanini.tn/api/images/plates/23/1722373620679-807801625-19.png,Nutella Lotus,13.000 DT,Gaufre,Sucré,NUT21
https://backend.scanini.tn/api/images/plates/23/1722373583686-847327774-19.png,Nutella Oreo,13.000 DT,Gaufre,Sucré,NUT31
https://backend.scanini.tn/api/images/plates/23/1722373537145-431148505-19.png,Nutella Fruits Secs,15.000 DT,Gaufre,Sucré,NUT42
https://backend.scanini.tn/api/images/plates/23/1722303443405-652826929-62.png,Citronnade,7.000 DT,Jus,Drinks,CIT0
https://backend.scanini.tn/api/images/plates/23/1722303520381-355961485-66.png,Jus Fraise,10.000 DT,Jus,Drinks,JUS1
https://backend.scanini.tn/api/images/plates/23/1722303537295-544976767-68.png,Lait De Poule,10.000 DT,Jus,Drinks,LAI2
https://www.elkolla.scanini.tn/assets/images/noimage.png,Kiwi,10.000 DT,Jus,Drinks,KIW3
https://backend.scanini.tn/api/images/plates/23/1722303565355-160910961-64.png,Duo (Fraise Banane),12.000 DT,Jus,Drinks,DUO4
https://backend.scanini.tn/api/images/plates/23/1722303589653-776096867-67.png,Trio (Kiwi Banane...,13.000 DT,Jus,Drinks,TRI5
https://backend.scanini.tn/api/images/plates/23/1722303223367-912937644-42.png,Classic,13.000 DT,Jwajem,Drinks,CLA0
https://backend.scanini.tn/api/images/plates/23/1722303255680-776251320-34.png,Jwajem Kolla,17.000 DT,Jwajem,Drinks,JWA1
https://backend.scanini.tn/api/images/plates/23/1722602809408-920086373-BRICK.jfif,Brick Au Thon,6.000 DT,Les Entrées,Cuisine,BRI0
https://backend.scanini.tn/api/images/plates/23/1722602838997-541343774-BRICK.jfif,Brick Au Fruit De...,7.000 DT,Les Entrées,Cuisine,BRI1
https://www.elkolla.scanini.tn/assets/images/noimage.png,Soupe,8.000 DT,Les Entrées,Cuisine,SOU2
https://backend.scanini.tn/api/images/plates/23/1722374060129-840808136-29.png,Salade César,22.000 DT,Les Entrées,Cuisine,SAL3
https://backend.scanini.tn/api/images/plates/23/1722374138179-600644796-21.png,Salade Poulpe,32.000 DT,Les Entrées,Cuisine,SAL4
https://backend.scanini.tn/api/images/plates/23/1722374086559-950735893-3.png,Salade Fruits De Mer,35.000 DT,Les Entrées,Cuisine,SAL5
https://backend.scanini.tn/api/images/plates/23/1722376387926-963576843-8.png,Oreo,12.000 DT,Milkshake,Drinks,ORE0
https://backend.scanini.tn/api/images/plates/23/1722303136023-155941159-14.png,Nutella,12.000 DT,Milkshake,Drinks,NUT12
https://backend.scanini.tn/api/images/plates/23/1722376414320-739048468-48.png,Snickers,13.000 DT,Milkshake,Drinks,SNI2
https://backend.scanini.tn/api/images/plates/23/1722376427426-253491884-15.png,Mars,13.000 DT,Milkshake,Drinks,MAR3
https://backend.scanini.tn/api/images/plates/23/1722376441302-669291537-8.png,Nutella Oreo,13.000 DT,Milkshake,Drinks,NUT43
https://backend.scanini.tn/api/images/plates/23/1722376455017-943306578-71.png,Ferrero Rocher,14.000 DT,Milkshake,Drinks,FER5
https://backend.scanini.tn/api/images/plates/23/1722303287228-431872160-36.png,Virgin,9.000 DT,Mojito,Drinks,VIR0
https://backend.scanini.tn/api/images/plates/23/1722303298847-143532699-9.png,Blue,11.000 DT,Mojito,Drinks,BLU1
https://backend.scanini.tn/api/images/plates/23/1722303316543-825491977-35.png,Fruit Rouge,11.000 DT,Mojito,Drinks,FRU2
https://backend.scanini.tn/api/images/plates/23/1722303329629-192786786-1.png,Energétique,15.000 DT,Mojito,Drinks,ENE3
https://backend.scanini.tn/api/images/plates/23/1722375168549-247661049-43.png,Penne Sauce Pesto,25.000 DT,Nos Pates,Cuisine,PEN0
https://backend.scanini.tn/api/images/plates/23/1722375146284-787927202-59.png,Lasagne Fruits De...,35.000 DT,Nos Pates,Cuisine,LAS1
https://backend.scanini.tn/api/images/plates/23/1722388132904-694782889-79.png,Spaghetti Fruits ...,42.000 DT,Nos Pates,Cuisine,SPA2
https://backend.scanini.tn/api/images/plates/23/1722375363982-958089409-43.png,Tagliatteli 4 Fro...,55.000 DT,Nos Pates,Cuisine,TAG3
